手巻　シーチキンマヨネーズ,118,https://www.family.co.jp/goods/omusubi/0410694.html,シーチキンとマヨネーズの配合を見直し、より旨味やコクのある仕立てに変更しました。調味料には、濃厚で旨味の強い焼津産まぐろ節出汁を使用し、旨味・風味をアップしました。
牛カルビ焼肉カレー,598,https://www.family.co.jp/goods/obento/0614047.html,ごはんよりも牛カルビ焼肉とカレーが多い、ボリューム感のあるお弁当です。香ばしく炙り焼きをした牛カルビ肉は、甘めのタレと、にんにくの風味をきかせた醤油ダレで味付けしました。
塩麹仕立てのさばほぐしごはん（スーパー大麦入り）,330,https://www.family.co.jp/goods/obento/0614498.html,食物繊維が通常の大麦に比べ多く含まれているスーパー大麦入りご飯に、オーブンで焼き上げ醤油で和えた鯖のほぐし身、錦糸玉子、漬物などをトッピングしました。
甘辛牛焼肉とおくら丼,530,https://www.family.co.jp/goods/obento/0731744.html,牛肉を使用したボリューム感のあるお弁当です。牛肉は醤油、三温糖、ごま油などで、ごはんに合うよう甘辛く味付けしました。箸休めにおくらと漬物を添えました。
山賊焼き弁当,530,https://www.family.co.jp/goods/obento/0616300.html,鶏もも肉を使用したボリューム感のあるお弁当です。やわらかくジューシーに揚げた鶏肉は、にんにくをきかせた醤油ベースの濃い目の味付けが特徴です。
魚介の旨み！ミニエビピラフ,298,https://www.family.co.jp/goods/obento/0731706.html,魚介の風味、野菜の旨みが楽しめるピラフに海老、コーン、人参、グリーンピースを盛り付けました。
ミニ海苔弁当,330,https://www.family.co.jp/goods/obento/0614337.html,定番の明太海苔弁当をミニサイズにしました。ごはんの上にはおかか、海苔、明太子をトッピングしました。おかずは白身魚フライ、玉子焼き、ごぼう人参きんぴらなどを盛り合わせました。※宮崎県、鹿児島県では取り扱いがございません。
にんにく醤油だれが決め手！スタミナ豚焼肉丼,530,https://www.family.co.jp/goods/obento/0614122.html,にんにく、醤油などで漬け込んだ豚バラ肉を、香ばしく炙り焼きをしてごはんの上に盛り付けました。相性の良いマヨソースをトッピングしました。
大豆のお肉！旨辛担々丼,498,https://www.family.co.jp/goods/obento/0731850.html,汁なし担々麺のような見た目、味わいを丼ぶりで再現しました。豆板醤や甜面醤、花椒などで炒め、辛めに仕上げた大豆ミートが特徴です。もやしや人参を使用したナムル、小松菜、メンマ、小エビ、アーモンドなどを盛り付けました。※宮崎県、鹿児島県では取り扱いがございません。
炙り焼三元豚のカルビ重（麦飯）,398,https://www.family.co.jp/goods/obento/0614276.html,香ばしく炙り焼きをした、三元豚のカルビ肉を使用しました。ごま油の風味と、コクが感じられる塩だれが特徴です。付け合わせは、2種類のナムルと漬物を盛り付けました。※東北地方の一部、宮崎県、鹿児島県では取り扱いがございません。
